Country;Year;femaleEmployees;femaleEmployeesHighPosition;femaleEmployeesHighPosition1;growthRateWHP
CZ;2011;61.7;15.9;12.2;3.7
CZ;2012;62.5;16.4;15.9;0.5
CZ;2013;63.8;11.3;16.4;-5.1
CZ;2014;64.7;3.5;11.3;-7.8
CZ;2015;66.4;10.4;3.5;6.9
CZ;2016;68.6;10.1;10.4;-0.3
CZ;2017;70.5;14.5;10.1;4.4
CZ;2018;72.2;13.8;14.5;-0.7
CZ;2019;72.7;18.2;13.8;4.4
DE;2005;63.1;12.2;0;12.2
DE;2006;65;11.2;12.2;-1.0
DE;2007;66.7;11.3;11.2;0.1
DE;2008;67.8;13.3;11.3;2.0
DE;2009;68.7;12.9;13.3;-0.4
DE;2010;69.7;12.6;12.9;-0.3
DE;2011;71.3;15.2;12.6;2.6
DE;2012;71.6;17.9;15.2;2.7
DE;2013;72.5;21.5;17.9;3.6
DE;2014;73.1;24.4;21.5;2.9
DE;2015;73.6;26.1;24.4;1.7
DE;2016;74.5;29.5;26.1;3.4
DE;2017;75.2;31.9;29.5;2.4
DE;2018;75.8;33.8;31.9;1.9
DE;2019;76.6;35.6;33.8;1.8
DK;2005;73.7;11;0;11.0
DK;2006;74.8;12.1;11;1.1
DK;2007;74.7;15.3;12.1;3.2
DK;2008;74.3;16.9;15.3;1.6
DK;2009;73.1;17.6;16.9;0.7
DK;2010;72;17.7;17.6;0.1
DK;2011;71.4;16.3;17.7;-1.4
DK;2012;71.1;20.8;16.3;4.5
DK;2013;71.2;22.9;20.8;2.1
DK;2014;71;24;22.9;1.1
DK;2015;71.5;25.8;24;1.8
DK;2016;72.5;27.1;25.8;1.3
DK;2017;73.2;30.3;27.1;3.2
DK;2018;73.9;27.7;30.3;-2.6
DK;2019;74.7;30;27.7;2.3
EE;2005;69.7;12.7;0;12.7
EE;2006;72.5;13.1;12.7;0.4
EE;2007;72.6;10.1;13.1;-3.0
EE;2008;72.9;8.4;10.1;-1.7
EE;2009;69;6.4;8.4;-2.0
EE;2010;65.9;7;6.4;0.6
EE;2011;67.8;6.7;7;-0.3
EE;2012;69.4;7.8;6.7;1.1
EE;2013;70.1;7.3;7.8;-0.5
EE;2014;70.6;7.1;7.3;-0.2
EE;2015;72.6;8.1;7.1;1.0
EE;2016;72.6;8.8;8.1;0.7
EE;2017;75.1;7.4;8.8;-1.4
EE;2018;75.6;8;7.4;0.6
EE;2019;76.3;9.4;8;1.4
EL;2005;49.7;7.1;0;7.1
EL;2006;51.3;7.9;7.1;0.8
EL;2007;51.7;11.2;7.9;3.3
EL;2008;52.6;5.7;11.2;-5.5
EL;2009;52.9;5.1;5.7;-0.6
EL;2010;51.8;6.2;5.1;1.1
EL;2011;48.7;6.5;6.2;0.3
EL;2012;45.2;7.9;6.5;1.4
EL;2013;43.3;8.4;7.9;0.5
EL;2014;44.3;8.9;8.4;0.5
EL;2015;46;9.8;8.9;0.9
EL;2016;46.8;9.1;9.8;-0.7
EL;2017;48;11.3;9.1;2.2
EL;2018;49.1;9.1;11.3;-2.2
EL;2019;51.3;10.3;9.1;1.2
ES;2005;55.1;4.3;0;4.3
ES;2006;57.1;4.5;4.3;0.2
ES;2007;58.6;6.2;4.5;1.7
ES;2008;58.9;8;6.2;1.8
ES;2009;56.8;9.6;8;1.6
ES;2010;56.3;9.5;9.6;-0.1
ES;2011;56.1;11.1;9.5;1.6
ES;2012;54.6;12.3;11.1;1.2
ES;2013;53.8;14.8;12.3;2.5
ES;2014;54.8;16.9;14.8;2.1
ES;2015;56.4;18.7;16.9;1.8
ES;2016;58.1;20.3;18.7;1.6
ES;2017;59.6;22;20.3;1.7
ES;2018;61;23.7;22;1.7
ES;2019;62.1;26.4;23.7;2.7
FR;2005;63.2;7.3;0;7.3
FR;2006;63.4;7.6;7.3;0.3
FR;2007;64.3;8.8;7.6;1.2
FR;2008;65;9.3;8.8;0.5
FR;2009;64.4;10.2;9.3;0.9
FR;2010;64.3;12.3;10.2;2.1
FR;2011;64.1;21.6;12.3;9.3
FR;2012;64.6;25.1;21.6;3.5
FR;2013;64.9;29.7;25.1;4.6
FR;2014;65.6;32.4;29.7;2.7
FR;2015;66;35.6;32.4;3.2
FR;2016;66.4;41.2;35.6;5.6
FR;2017;66.8;43.4;41.2;2.2
FR;2018;67.6;44;43.4;0.6
FR;2019;68.1;45.2;44;1.2
HR;2005;52.8;-1;0;-1
HR;2006;53.6;-1;-1;-1
HR;2007;55.9;13.7;-1;-1
HR;2008;57;11.5;13.7;-2.2
HR;2009;58;15;11.5;3.5
HR;2010;56.4;15.6;15;0.6
HR;2011;53.6;19;15.6;3.4
HR;2012;52.6;15.1;19;-3.9
HR;2013;52.8;15.1;15.1;0.0
HR;2014;54.2;19;15.1;3.9
HR;2015;55.9;22.2;19;3.2
HR;2016;56.6;19.9;22.2;-2.3
HR;2017;58.3;21.6;19.9;1.7
HR;2018;60.1;17.2;21.6;-4.4
HR;2019;61.5;27;17.2;9.8
HU;2005;55.6;9.6;0;9.6
HU;2006;55.6;11.5;9.6;1.9
HU;2007;55.2;10.8;11.5;-0.7
HU;2008;54.8;16.3;10.8;5.5
HU;2009;54;13.3;16.3;-3.0
HU;2010;54.6;13.6;13.3;0.3
HU;2011;54.7;5.3;13.6;-8.3
HU;2012;56.2;7.4;5.3;2.1
HU;2013;56.9;11.3;7.4;3.9
HU;2014;60.2;11.8;11.3;0.5
HU;2015;62.1;17.8;11.8;6.0
HU;2016;64.6;12.3;17.8;-5.5
HU;2017;65.7;14.5;12.3;2.2
HU;2018;66.8;14.9;14.5;0.4
HU;2019;67.6;12.9;14.9;-2.0
IE;2005;63.7;6;0;6.0
IE;2006;64.6;5.1;6;-0.9
IE;2007;65.8;6.7;5.1;1.6
IE;2008;65.4;7.1;6.7;0.4
IE;2009;62.9;8.3;7.1;1.2
IE;2010;61.1;8.4;8.3;0.1
IE;2011;60.2;8.8;8.4;0.4
IE;2012;60.2;8.7;8.8;-0.1
IE;2013;61.3;11.1;8.7;2.4
IE;2014;62.3;10.9;11.1;-0.2
IE;2015;63.8;15.3;10.9;4.4
IE;2016;65.4;16.5;15.3;1.2
IE;2017;67;17.6;16.5;1.1
IE;2018;68.1;18.7;17.6;1.1
IE;2019;69;26;18.7;7.3
IT;2005;48.5;2.7;0;2.7
IT;2006;49.6;3.6;2.7;0.9
IT;2007;49.9;3.2;3.6;-0.4
IT;2008;50.6;3.9;3.2;0.7
IT;2009;49.7;4;3.9;0.1
IT;2010;49.5;4.5;4;0.5
IT;2011;49.9;5.9;4.5;1.4
IT;2012;50.5;10.8;5.9;4.9
IT;2013;49.9;15;10.8;4.2
IT;2014;50.3;24.1;15;9.1
IT;2015;50.6;28.6;24.1;4.5
IT;2016;51.6;32.3;28.6;3.7
IT;2017;52.5;34;32.3;1.7
IT;2018;53.1;36.4;34;2.4
IT;2019;53.8;36.1;36.4;-0.3
LT;2005;66.6;10.7;0;10.7
LT;2006;68;15.6;10.7;4.9
LT;2007;69.1;17.5;15.6;1.9
LT;2008;68.7;16.2;17.5;-1.3
LT;2009;67.2;15;16.2;-1.2
LT;2010;65;13.1;15;-1.9
LT;2011;66.6;14;13.1;0.9
LT;2012;67.9;17.8;14;3.8
LT;2013;68.6;16.1;17.8;-1.7
LT;2014;70.6;16.5;16.1;0.4
LT;2015;72.2;14.3;16.5;-2.2
LT;2016;74.3;14.3;14.3;0.0
LT;2017;75.5;14.3;14.3;0.0
LT;2018;76.7;10.8;14.3;-3.5
LT;2019;77.4;12;10.8;1.2
LU;2005;58.4;3.2;0;3.2
LU;2006;59.4;1;3.2;-2.2
LU;2007;61;2.6;1;1.6
LU;2008;60.1;2.6;2.6;0.0
LU;2009;61.5;2.7;2.6;0.1
LU;2010;62;3.5;2.7;0.8
LU;2011;61.9;5.6;3.5;2.1
LU;2012;64.1;9.7;5.6;4.1
LU;2013;63.9;11.3;9.7;1.6
LU;2014;65.5;11.7;11.3;0.4
LU;2015;65;12.1;11.7;0.4
LU;2016;65.1;12.9;12.1;0.8
LU;2017;67.5;12;12.9;-0.9
LU;2018;68;13.3;12;1.3
LU;2019;68.1;13.1;13.3;-0.2
LV;2005;64.5;19.3;0;19.3
LV;2006;68.4;20.9;19.3;1.6
LV;2007;70.3;17.4;20.9;-3.5
LV;2008;71.9;15.8;17.4;-1.6
LV;2009;66.5;17.1;15.8;1.3
LV;2010;64.5;23.5;17.1;6.4
LV;2011;65.3;26.6;23.5;3.1
LV;2012;66.4;28.2;26.6;1.6
LV;2013;67.7;28.6;28.2;0.4
LV;2014;68.5;31.7;28.6;3.1
LV;2015;70.5;30.4;31.7;-1.3
LV;2016;71.8;28.5;30.4;-1.9
LV;2017;72.7;28.8;28.5;0.3
LV;2018;74.8;29;28.8;0.2
LV;2019;75.5;31.7;29;2.7
MT;2005;34.8;3.3;0;3.3
MT;2006;35.7;4.1;3.3;0.8
MT;2007;37.7;4.1;4.1;0.0
MT;2008;39.4;4.3;4.1;0.2
MT;2009;40;4.1;4.3;-0.2
MT;2010;41.6;2.4;4.1;-1.7
MT;2011;43.8;2.3;2.4;-0.1
MT;2012;48;3.5;2.3;1.2
MT;2013;51.7;2.1;3.5;-1.4
MT;2014;54.3;2.7;2.1;0.6
MT;2015;55.3;4.5;2.7;1.8
MT;2016;58;4.5;4.5;0.0
MT;2017;60.6;8.4;4.5;3.9
MT;2018;64.1;9.6;8.4;1.2
MT;2019;65.8;10;9.6;0.4
NL;2005;64.4;6.9;0;6.9
NL;2006;65.7;8.4;6.9;1.5
NL;2007;67.7;13.9;8.4;5.5
NL;2008;69.4;14.5;13.9;0.6
NL;2009;69.9;15;14.5;0.5
NL;2010;69.8;14.9;15;-0.1
NL;2011;70.4;17.8;14.9;2.9
NL;2012;71;21.5;17.8;3.7
NL;2013;70.6;25.1;21.5;3.6
NL;2014;69.7;24.9;25.1;-0.2
NL;2015;70.8;25.5;24.9;0.6
NL;2016;71.6;27.5;25.5;2.0
NL;2017;72.8;29.5;27.5;2.0
NL;2018;74.2;30.7;29.5;1.2
NL;2019;75.5;34.2;30.7;3.5
PL;2005;51.7;10.7;0;10.7
PL;2006;53.1;9.4;10.7;-1.3
PL;2007;55.5;11.9;9.4;2.5
PL;2008;57.3;10.4;11.9;-1.5
PL;2009;57.6;9.5;10.4;-0.9
PL;2010;57.3;11.6;9.5;2.1
PL;2011;57.2;11.8;11.6;0.2
PL;2012;57.5;11.8;11.8;0.0
PL;2013;57.6;12.3;11.8;0.5
PL;2014;59.4;14.6;12.3;2.3
PL;2015;60.9;19.4;14.6;4.8
PL;2016;62.2;18.8;19.4;-0.6
PL;2017;63.6;20.1;18.8;1.3
PL;2018;65;21;20.1;0.9
PL;2019;65.3;23.5;21;2.5
PT;2005;66;6.1;0;6.1
PT;2006;66.3;6.8;6.1;0.7
PT;2007;66.3;3.2;6.8;-3.6
PT;2008;67.1;2.6;3.2;-0.6
PT;2009;66.1;3.7;2.6;1.1
PT;2010;65.6;5.4;3.7;1.7
PT;2011;64.6;5.9;5.4;0.5
PT;2012;63;7.4;5.9;1.5
PT;2013;62.3;8.8;7.4;1.4
PT;2014;64.2;9.5;8.8;0.7
PT;2015;65.9;13.5;9.5;4.0
PT;2016;67.4;14.3;13.5;0.8
PT;2017;69.8;16.2;14.3;1.9
PT;2018;72.1;21.6;16.2;5.4
PT;2019;72.7;24.6;21.6;3.0
RO;2005;56.9;12.8;0;12.8
RO;2006;58.5;13;12.8;0.2
RO;2007;57.9;17.6;13;4.6
RO;2008;57.3;12;17.6;-5.6
RO;2009;56.3;11.7;12;-0.3
RO;2010;56.5;21.3;11.7;9.6
RO;2011;56.2;10.4;21.3;-10.9
RO;2012;56.7;11.9;10.4;1.5
RO;2013;56.5;7.8;11.9;-4.1
RO;2014;57.3;11;7.8;3.2
RO;2015;57.2;11.8;11;0.8
RO;2016;57.4;10.1;11.8;-1.7
RO;2017;60.2;11;10.1;0.9
RO;2018;60.6;11;11;0.0
RO;2019;61.3;12.6;11;1.6
SE;2005;75.2;24;0;24.0
SE;2006;75.8;24.4;24;0.4
SE;2007;77.1;23.8;24.4;-0.6
SE;2008;77.2;26.9;23.8;3.1
SE;2009;75.7;26.8;26.9;-0.1
SE;2010;75;26.4;26.8;-0.4
SE;2011;76.5;24.7;26.4;-1.7
SE;2012;76.8;25.5;24.7;0.8
SE;2013;77.2;26.5;25.5;1.0
SE;2014;77.6;27.6;26.5;1.1
SE;2015;78.3;32.6;27.6;5.0
SE;2016;79.2;36.9;32.6;4.3
SE;2017;79.8;35.9;36.9;-1.0
SE;2018;80.2;36.1;35.9;0.2
SE;2019;79.7;37.5;36.1;1.4
SI;2005;66.2;18.9;0;18.9
SI;2006;66.5;19.3;18.9;0.4
SI;2007;67.1;15.4;19.3;-3.9
SI;2008;68.5;18.4;15.4;3.0
SI;2009;67.9;10;18.4;-8.4
SI;2010;66.5;9.8;10;-0.2
SI;2011;64.8;14.2;9.8;4.4
SI;2012;64.6;18.7;14.2;4.5
SI;2013;63;21.6;18.7;2.9
SI;2014;63.6;19.9;21.6;-1.7
SI;2015;64.7;21.5;19.9;1.6
SI;2016;66.7;24.8;21.5;3.3
SI;2017;69.7;22.6;24.8;-2.2
SI;2018;71.7;27.9;22.6;5.3
SI;2019;72.9;24.6;27.9;-3.3
SK;2005;56.7;11.1;0;11.1
SK;2006;57.5;9.7;11.1;-1.4
SK;2007;58.7;23.5;9.7;13.8
SK;2008;60.3;18;23.5;-5.5
SK;2009;58.2;18.2;18;0.2
SK;2010;57.4;21.6;18.2;3.4
SK;2011;57.4;14.6;21.6;-7.0
SK;2012;57.3;13.8;14.6;-0.8
SK;2013;57.8;24;13.8;10.2
SK;2014;58.6;18.2;24;-5.8
SK;2015;60.3;12.7;18.2;-5.5
SK;2016;62.7;12.5;12.7;-0.2
SK;2017;64.7;15.1;12.5;2.6
SK;2018;65.5;24.1;15.1;9.0
SK;2019;66.9;29.1;24.1;5.0
