Year;Country;ISCED11;AVG_%
2006;Austria   ;5-8                                                                       ;14,75
2006;Poland    ;0-2                                                                       ;20,95
2006;Poland    ;3-4                                                                       ;64,15
2006;Poland    ;5-8                                                                       ;14,85
2006;Portugal  ;0-2                                                                       ;71,75
2006;Portugal  ;3-4                                                                       ;16,65
2006;Portugal  ;5-8                                                                       ;11,6
2006;Romania   ;0-2                                                                       ;32,05
2006;Romania   ;3-4                                                                       ;58,4
2006;Romania   ;5-8                                                                       ;9,55
2006;Slovenia  ;0-2                                                                       ;22,9
2006;Slovenia  ;3-4                                                                       ;59,3
2006;Slovenia  ;5-8                                                                       ;17,8
2006;Slovakia  ;0-2                                                                       ;18,85
2006;Slovakia  ;3-4                                                                       ;69,25
2006;Slovakia  ;5-8                                                                       ;11,9
2006;Finland   ;0-2                                                                       ;26,2
2006;Finland   ;3-4                                                                       ;44,75
2006;Finland   ;5-8                                                                       ;29,0
2006;Sweden    ;0-2                                                                       ;26,85
2006;Sweden    ;3-4                                                                       ;47,15
2006;Sweden    ;5-8                                                                       ;25,95
2006;Switzerlan;0-2                                                                       ;21,9
2006;Switzerlan;3-4                                                                       ;52,95
2006;Switzerlan;5-8                                                                       ;25,2
2007;Belgium   ;0-2                                                                       ;34,8
2007;Belgium   ;3-4                                                                       ;37,15
2007;Belgium   ;5-8                                                                       ;28,15
2007;Bulgaria  ;0-2                                                                       ;28,65
2007;Bulgaria  ;3-4                                                                       ;52,8
2007;Bulgaria  ;5-8                                                                       ;18,5
2007;Czechia   ;0-2                                                                       ;16,2
2007;Czechia   ;3-4                                                                       ;72,2
2007;Czechia   ;5-8                                                                       ;11,65
2007;Denmark   ;0-2                                                                       ;32,35
2007;Denmark   ;3-4                                                                       ;41,7
2007;Denmark   ;5-8                                                                       ;26,05
2007;Germany (u;0-2                                                                       ;23,5
2007;Germany (u;3-4                                                                       ;56,15
2007;Germany (u;5-8                                                                       ;20,35
2007;Estonia   ;0-2                                                                       ;20,1
2007;Estonia   ;3-4                                                                       ;52,55
2007;Estonia   ;5-8                                                                       ;27,35
2007;Ireland   ;0-2                                                                       ;33,1
2007;Ireland   ;3-4                                                                       ;36,75
2007;Ireland   ;5-8                                                                       ;30,15
2007;Greece    ;0-2                                                                       ;40,8
2007;Greece    ;3-4                                                                       ;40,1
2007;Greece    ;5-8                                                                       ;19,15
2007;Spain     ;0-2                                                                       ;50,1
2007;Spain     ;3-4                                                                       ;23,1
2007;Spain     ;5-8                                                                       ;26,8
2007;France    ;0-2                                                                       ;33,95
2007;France    ;3-4                                                                       ;41,7
2007;France    ;5-8                                                                       ;24,35
2007;Croatia   ;0-2                                                                       ;26,65
2007;Croatia   ;3-4                                                                       ;59,95
2007;Croatia   ;5-8                                                                       ;13,4
2007;Italy     ;0-2                                                                       ;48,7
2007;Italy     ;3-4                                                                       ;39,3
2007;Italy     ;5-8                                                                       ;12,05
2007;Cyprus    ;0-2                                                                       ;31,15
2007;Cyprus    ;3-4                                                                       ;39,2
2007;Cyprus    ;5-8                                                                       ;29,7
2007;Latvia    ;0-2                                                                       ;24,15
2007;Latvia    ;3-4                                                                       ;57,45
2007;Latvia    ;5-8                                                                       ;18,35
2007;Lithuania ;0-2                                                                       ;19,95
2007;Lithuania ;3-4                                                                       ;56,5
2007;Lithuania ;5-8                                                                       ;23,6
2007;Luxembourg;0-2                                                                       ;38,7
2007;Luxembourg;3-4                                                                       ;38,6
2007;Luxembourg;5-8                                                                       ;22,7
2007;Hungary   ;0-2                                                                       ;26,25
2007;Hungary   ;3-4                                                                       ;58,4
2007;Hungary   ;5-8                                                                       ;15,35
2007;Malta     ;0-2                                                                       ;67,3
2007;Malta     ;3-4                                                                       ;20,95
2007;Malta     ;5-8                                                                       ;11,7
2007;Netherland;0-2                                                                       ;32,85
2007;Netherland;3-4                                                                       ;41,7
2007;Netherland;5-8                                                                       ;25,45
2007;Austria   ;0-2                                                                       ;25,4
2007;Austria   ;3-4                                                                       ;60,05
2007;Austria   ;5-8                                                                       ;14,6
2007;Poland    ;0-2                                                                       ;20,4
2007;Poland    ;3-4                                                                       ;63,95
2007;Poland    ;5-8                                                                       ;15,6
2007;Portugal  ;0-2                                                                       ;71,5
2007;Portugal  ;3-4                                                                       ;16,6
2007;Portugal  ;5-8                                                                       ;11,9
2007;Romania   ;0-2                                                                       ;30,9
2007;Romania   ;3-4                                                                       ;59,15
2007;Romania   ;5-8                                                                       ;9,9
2007;Slovenia  ;0-2                                                                       ;22,25
2007;Slovenia  ;3-4                                                                       ;59,25
2007;Slovenia  ;5-8                                                                       ;18,55
2007;Slovakia  ;0-2                                                                       ;18,4
2007;Slovakia  ;3-4                                                                       ;69,7
2007;Slovakia  ;5-8                                                                       ;11,9
2007;Finland   ;0-2                                                                       ;25,35
2007;Finland   ;3-4                                                                       ;44,55
2007;Finland   ;5-8                                                                       ;30,0
2007;Sweden    ;0-2                                                                       ;26,55
2007;Sweden    ;3-4                                                                       ;47,0
2007;Sweden    ;5-8                                                                       ;26,45
2007;Switzerlan;0-2                                                                       ;21,15
2007;Switzerlan;3-4                                                                       ;52,35
2007;Switzerlan;5-8                                                                       ;26,55
2008;Belgium   ;0-2                                                                       ;33,55
2008;Belgium   ;3-4                                                                       ;38,0
2008;Belgium   ;5-8                                                                       ;28,45
2008;Bulgaria  ;0-2                                                                       ;28,35
2008;Bulgaria  ;3-4                                                                       ;52,8
2008;Bulgaria  ;5-8                                                                       ;18,85
2008;Czechia   ;0-2                                                                       ;15,9
2008;Czechia   ;3-4                                                                       ;71,75
2008;Czechia   ;5-8                                                                       ;12,45
2008;Denmark   ;0-2                                                                       ;33,25
2008;Denmark   ;3-4                                                                       ;40,7
2008;Denmark   ;5-8                                                                       ;26,05
2008;Germany (u;0-2                                                                       ;22,3
2008;Germany (u;3-4                                                                       ;56,35
2008;Germany (u;5-8                                                                       ;21,35
2008;Estonia   ;0-2                                                                       ;20,45
2008;Estonia   ;3-4                                                                       ;51,45
2008;Estonia   ;5-8                                                                       ;28,1
2008;Ireland   ;0-2                                                                       ;31,8
2008;Ireland   ;3-4                                                                       ;36,95
2008;Ireland   ;5-8                                                                       ;31,25
2008;Greece    ;0-2                                                                       ;39,75
2008;Greece    ;3-4                                                                       ;40,5
2008;Greece    ;5-8                                                                       ;19,75
2008;Spain     ;0-2                                                                       ;49,85
2008;Spain     ;3-4                                                                       ;23,15
2008;Spain     ;5-8                                                                       ;27,05
2008;France    ;0-2                                                                       ;32,95
2008;France    ;3-4                                                                       ;42,3
2008;France    ;5-8                                                                       ;24,75
2008;Croatia   ;0-2                                                                       ;25,9
2008;Croatia   ;3-4                                                                       ;60,5
2008;Croatia   ;5-8                                                                       ;13,6
2008;Italy     ;0-2                                                                       ;47,9
2008;Italy     ;3-4                                                                       ;39,45
2008;Italy     ;5-8                                                                       ;12,65
2008;Cyprus    ;0-2                                                                       ;30,4
2008;Cyprus    ;3-4                                                                       ;38,65
2008;Cyprus    ;5-8                                                                       ;31,0
2008;Latvia    ;0-2                                                                       ;22,95
2008;Latvia    ;3-4                                                                       ;56,55
2008;Latvia    ;5-8                                                                       ;20,5
2008;Lithuania ;0-2                                                                       ;18,6
2008;Lithuania ;3-4                                                                       ;56,25
2008;Lithuania ;5-8                                                                       ;25,15
2008;Luxembourg;0-2                                                                       ;36,8
2008;Luxembourg;3-4                                                                       ;39,5
2008;Luxembourg;5-8                                                                       ;23,7
2008;Hungary   ;0-2                                                                       ;25,7
2008;Hungary   ;3-4                                                                       ;57,95
2008;Hungary   ;5-8                                                                       ;16,35
2008;Malta     ;0-2                                                                       ;65,15
2008;Malta     ;3-4                                                                       ;22,8
2008;Malta     ;5-8                                                                       ;12,05
2008;Netherland;0-2                                                                       ;32,8
2008;Netherland;3-4                                                                       ;40,95
2008;Netherland;5-8                                                                       ;26,25
2008;Austria   ;0-2                                                                       ;24,55
2008;Austria   ;3-4                                                                       ;60,4
2008;Austria   ;5-8                                                                       ;15,05
2008;Poland    ;0-2                                                                       ;19,65
2008;Poland    ;3-4                                                                       ;63,85
2008;Poland    ;5-8                                                                       ;16,5
2008;Portugal  ;0-2                                                                       ;70,8
2008;Portugal  ;3-4                                                                       ;16,6
2008;Portugal  ;5-8                                                                       ;12,6
2008;Romania   ;0-2                                                                       ;30,15
2008;Romania   ;3-4                                                                       ;59,15
2008;Romania   ;5-8                                                                       ;10,7
2008;Slovenia  ;0-2                                                                       ;21,9
2008;Slovenia  ;3-4                                                                       ;59,05
2008;Slovenia  ;5-8                                                                       ;19,05
2008;Slovakia  ;0-2                                                                       ;17,6
2008;Slovakia  ;3-4                                                                       ;70,05
2008;Slovakia  ;5-8                                                                       ;12,35
2008;Finland   ;0-2                                                                       ;25,15
2008;Finland   ;3-4                                                                       ;44,6
2008;Finland   ;5-8                                                                       ;30,25
2008;Sweden    ;0-2                                                                       ;26,15
2008;Sweden    ;3-4                                                                       ;46,9
2008;Sweden    ;5-8                                                                       ;26,9
2008;Switzerlan;0-2                                                                       ;20,35
2008;Switzerlan;3-4                                                                       ;51,15
2008;Switzerlan;5-8                                                                       ;28,5
2009;Belgium   ;0-2                                                                       ;32,4
2009;Belgium   ;3-4                                                                       ;38,1
2009;Belgium   ;5-8                                                                       ;29,45
2009;Bulgaria  ;0-2                                                                       ;27,55
2009;Bulgaria  ;3-4                                                                       ;53,25
2009;Bulgaria  ;5-8                                                                       ;19,15
2009;Czechia   ;0-2                                                                       ;15,2
2009;Czechia   ;3-4                                                                       ;71,45
2009;Czechia   ;5-8                                                                       ;13,4
2009;Denmark   ;0-2                                                                       ;32,4
2009;Denmark   ;3-4                                                                       ;40,95
2009;Denmark   ;5-8                                                                       ;26,65
2009;Germany (u;0-2                                                                       ;22,0
2009;Germany (u;3-4                                                                       ;55,8
2009;Germany (u;5-8                                                                       ;22,25
2009;Estonia   ;0-2                                                                       ;19,3
2009;Estonia   ;3-4                                                                       ;50,8
2009;Estonia   ;5-8                                                                       ;29,95
2009;Ireland   ;0-2                                                                       ;30,65
2009;Ireland   ;3-4                                                                       ;36,7
2009;Ireland   ;5-8                                                                       ;32,65
2009;Greece    ;0-2                                                                       ;39,6
2009;Greece    ;3-4                                                                       ;40,45
2009;Greece    ;5-8                                                                       ;19,95
2009;Spain     ;0-2                                                                       ;49,45
2009;Spain     ;3-4                                                                       ;23,15
2009;Spain     ;5-8                                                                       ;27,4
2009;France    ;0-2                                                                       ;32,35
2009;France    ;3-4                                                                       ;41,8
2009;France    ;5-8                                                                       ;25,8
2009;Croatia   ;0-2                                                                       ;25,35
2009;Croatia   ;3-4                                                                       ;60,15
2009;Croatia   ;5-8                                                                       ;14,5
2009;Italy     ;0-2                                                                       ;47,15
2009;Italy     ;3-4                                                                       ;40,1
2009;Italy     ;5-8                                                                       ;12,8
2009;Cyprus    ;0-2                                                                       ;31,2
2009;Cyprus    ;3-4                                                                       ;38,35
2009;Cyprus    ;5-8                                                                       ;30,4
2009;Latvia    ;0-2                                                                       ;21,7
2009;Latvia    ;3-4                                                                       ;57,15
2009;Latvia    ;5-8                                                                       ;21,2
2009;Lithuania ;0-2                                                                       ;18,1
2009;Lithuania ;3-4                                                                       ;56,55
2009;Lithuania ;5-8                                                                       ;25,3
2009;Luxembourg;0-2                                                                       ;28,6
2009;Luxembourg;3-4                                                                       ;41,25
2009;Luxembourg;5-8                                                                       ;30,2
2009;Hungary   ;0-2                                                                       ;24,95
2009;Hungary   ;3-4                                                                       ;58,2
2009;Hungary   ;5-8                                                                       ;16,85
2009;Malta     ;0-2                                                                       ;62,0
2009;Malta     ;3-4                                                                       ;25,15
2009;Malta     ;5-8                                                                       ;12,8
2009;Netherland;0-2                                                                       ;32,6
2009;Netherland;3-4                                                                       ;40,65
2009;Netherland;5-8                                                                       ;26,75
2009;Austria   ;0-2                                                                       ;23,8
2009;Austria   ;3-4                                                                       ;60,25
2009;Austria   ;5-8                                                                       ;16,0
2009;Poland    ;0-2                                                                       ;18,7
2009;Poland    ;3-4                                                                       ;63,3
2009;Poland    ;5-8                                                                       ;18,05
2009;Portugal  ;0-2                                                                       ;69,3
2009;Portugal  ;3-4                                                                       ;17,65
2009;Portugal  ;5-8                                                                       ;13,05
2009;Romania   ;0-2                                                                       ;30,2
2009;Romania   ;3-4                                                                       ;58,6
2009;Romania   ;5-8                                                                       ;11,25
2009;Slovenia  ;0-2                                                                       ;20,85
2009;Slovenia  ;3-4                                                                       ;59,4
2009;Slovenia  ;5-8                                                                       ;19,7
2009;Slovakia  ;0-2                                                                       ;16,5
2009;Slovakia  ;3-4                                                                       ;70,1
2009;Slovakia  ;5-8                                                                       ;13,45
2009;Finland   ;0-2                                                                       ;24,35
2009;Finland   ;3-4                                                                       ;44,7
2009;Finland   ;5-8                                                                       ;30,9
2009;Sweden    ;0-2                                                                       ;25,4
2009;Sweden    ;3-4                                                                       ;46,9
2009;Sweden    ;5-8                                                                       ;27,65
2009;Switzerlan;0-2                                                                       ;20,55
2009;Switzerlan;3-4                                                                       ;49,95
2009;Switzerlan;5-8                                                                       ;29,5
2010;Belgium   ;0-2                                                                       ;32,55
2010;Belgium   ;3-4                                                                       ;36,75
2010;Belgium   ;5-8                                                                       ;30,75
2010;Bulgaria  ;0-2                                                                       ;25,15
2010;Bulgaria  ;3-4                                                                       ;55,1
2010;Bulgaria  ;5-8                                                                       ;19,75
2010;Czechia   ;0-2                                                                       ;14,45
2010;Czechia   ;3-4                                                                       ;71,05
2010;Czechia   ;5-8                                                                       ;14,55
2010;Denmark   ;0-2                                                                       ;32,15
2010;Denmark   ;3-4                                                                       ;40,55
2010;Denmark   ;5-8                                                                       ;27,4
2010;Germany (u;0-2                                                                       ;21,0
2010;Germany (u;3-4                                                                       ;56,35
2010;Germany (u;5-8                                                                       ;22,65
2010;Estonia   ;0-2                                                                       ;18,25
2010;Estonia   ;3-4                                                                       ;51,9
2010;Estonia   ;5-8                                                                       ;29,85
2010;Ireland   ;0-2                                                                       ;29,9
2010;Ireland   ;3-4                                                                       ;36,25
2010;Ireland   ;5-8                                                                       ;33,85
2010;Greece    ;0-2                                                                       ;38,55
2010;Greece    ;3-4                                                                       ;40,55
2010;Greece    ;5-8                                                                       ;20,9
2010;Spain     ;0-2                                                                       ;48,1
2010;Spain     ;3-4                                                                       ;23,45
2010;Spain     ;5-8                                                                       ;28,45
2010;France    ;0-2                                                                       ;31,9
2010;France    ;3-4                                                                       ;41,9
2010;France    ;5-8                                                                       ;26,15
2010;Croatia   ;0-2                                                                       ;25,4
2010;Croatia   ;3-4                                                                       ;58,85
2010;Croatia   ;5-8                                                                       ;15,75
2010;Italy     ;0-2                                                                       ;46,25
2010;Italy     ;3-4                                                                       ;40,7
2010;Italy     ;5-8                                                                       ;13,0
2010;Cyprus    ;0-2                                                                       ;29,6
2010;Cyprus    ;3-4                                                                       ;38,4
2010;Cyprus    ;5-8                                                                       ;31,95
2010;Latvia    ;0-2                                                                       ;19,7
2010;Latvia    ;3-4                                                                       ;57,9
2010;Latvia    ;5-8                                                                       ;22,4
2010;Lithuania ;0-2                                                                       ;17,2
2010;Lithuania ;3-4                                                                       ;56,15
2010;Lithuania ;5-8                                                                       ;26,7
2010;Luxembourg;0-2                                                                       ;28,9
2010;Luxembourg;3-4                                                                       ;40,8
2010;Luxembourg;5-8                                                                       ;30,25
2010;Hungary   ;0-2                                                                       ;24,4
2010;Hungary   ;3-4                                                                       ;58,55
2010;Hungary   ;5-8                                                                       ;17,05
2010;Malta     ;0-2                                                                       ;60,3
2010;Malta     ;3-4                                                                       ;25,55
2010;Malta     ;5-8                                                                       ;14,15
2010;Netherland;0-2                                                                       ;31,8
2010;Netherland;3-4                                                                       ;40,45
2010;Netherland;5-8                                                                       ;27,7
2010;Austria   ;0-2                                                                       ;23,2
2010;Austria   ;3-4                                                                       ;60,55
2010;Austria   ;5-8                                                                       ;16,25
2010;Poland    ;0-2                                                                       ;18,0
2010;Poland    ;3-4                                                                       ;62,55
2010;Poland    ;5-8                                                                       ;19,4
2010;Portugal  ;0-2                                                                       ;67,4
2010;Portugal  ;3-4                                                                       ;18,8
2010;Portugal  ;5-8                                                                       ;13,85
2010;Romania   ;0-2                                                                       ;30,6
2010;Romania   ;3-4                                                                       ;57,5
2010;Romania   ;5-8                                                                       ;11,9
2010;Slovenia  ;0-2                                                                       ;20,95
2010;Slovenia  ;3-4                                                                       ;58,7
2010;Slovenia  ;5-8                                                                       ;20,35
2010;Slovakia  ;0-2                                                                       ;16,25
2010;Slovakia  ;3-4                                                                       ;68,7
2010;Slovakia  ;5-8                                                                       ;15,05
2010;Finland   ;0-2                                                                       ;23,65
2010;Finland   ;3-4                                                                       ;44,8
2010;Finland   ;5-8                                                                       ;31,65
2010;Sweden    ;0-2                                                                       ;25,0
2010;Sweden    ;3-4                                                                       ;46,7
2010;Sweden    ;5-8                                                                       ;28,3
2010;Switzerlan;0-2                                                                       ;21,35
2010;Switzerlan;3-4                                                                       ;49,95
2010;Switzerlan;5-8                                                                       ;28,75
2011;Belgium   ;0-2                                                                       ;31,85
2011;Belgium   ;3-4                                                                       ;37,7
2011;Belgium   ;5-8                                                                       ;30,4
2011;Bulgaria  ;0-2                                                                       ;24,0
2011;Bulgaria  ;3-4                                                                       ;55,9
2011;Bulgaria  ;5-8                                                                       ;20,1
2011;Czechia   ;0-2                                                                       ;13,9
2011;Czechia   ;3-4                                                                       ;70,2
2011;Czechia   ;5-8                                                                       ;15,85
2011;Denmark   ;0-2                                                                       ;30,85
2011;Denmark   ;3-4                                                                       ;41,3
2011;Denmark   ;5-8                                                                       ;27,85
2011;Germany (u;0-2                                                                       ;18,05
2011;Germany (u;3-4                                                                       ;57,65
2011;Germany (u;5-8                                                                       ;24,3
2011;Estonia   ;0-2                                                                       ;17,75
2011;Estonia   ;3-4                                                                       ;51,15
2011;Estonia   ;5-8                                                                       ;31,15
2011;Ireland   ;0-2                                                                       ;29,1
2011;Ireland   ;3-4                                                                       ;36,5
2011;Ireland   ;5-8                                                                       ;34,35
2011;Greece    ;0-2                                                                       ;37,1
2011;Greece    ;3-4                                                                       ;40,65
2011;Greece    ;5-8                                                                       ;22,2
2011;Spain     ;0-2                                                                       ;46,95
2011;Spain     ;3-4                                                                       ;23,75
2011;Spain     ;5-8                                                                       ;29,3
2011;France    ;0-2                                                                       ;31,25
2011;France    ;3-4                                                                       ;42,1
2011;France    ;5-8                                                                       ;26,7
2011;Croatia   ;0-2                                                                       ;24,65
2011;Croatia   ;3-4                                                                       ;60,0
2011;Croatia   ;5-8                                                                       ;15,35
2011;Italy     ;0-2                                                                       ;45,5
2011;Italy     ;3-4                                                                       ;41,4
2011;Italy     ;5-8                                                                       ;13,15
2011;Cyprus    ;0-2                                                                       ;28,35
2011;Cyprus    ;3-4                                                                       ;38,05
2011;Cyprus    ;5-8                                                                       ;33,6
2011;Latvia    ;0-2                                                                       ;19,7
2011;Latvia    ;3-4                                                                       ;56,95
2011;Latvia    ;5-8                                                                       ;23,4
2011;Lithuania ;0-2                                                                       ;15,9
2011;Lithuania ;3-4                                                                       ;56,4
2011;Lithuania ;5-8                                                                       ;27,65
2011;Luxembourg;0-2                                                                       ;29,05
2011;Luxembourg;3-4                                                                       ;39,25
2011;Luxembourg;5-8                                                                       ;31,65
2011;Hungary   ;0-2                                                                       ;24,25
2011;Hungary   ;3-4                                                                       ;57,8
2011;Hungary   ;5-8                                                                       ;18,0
2011;Malta     ;0-2                                                                       ;58,9
2011;Malta     ;3-4                                                                       ;26,05
2011;Malta     ;5-8                                                                       ;15,15
2011;Netherland;0-2                                                                       ;31,65
2011;Netherland;3-4                                                                       ;40,45
2011;Netherland;5-8                                                                       ;27,95
2011;Austria   ;0-2                                                                       ;23,05
2011;Austria   ;3-4                                                                       ;60,6
2011;Austria   ;5-8                                                                       ;16,35
2011;Poland    ;0-2                                                                       ;17,55
2011;Poland    ;3-4                                                                       ;62,2
2011;Poland    ;5-8                                                                       ;20,25
2011;Portugal  ;0-2                                                                       ;64,25
2011;Portugal  ;3-4                                                                       ;20,3
2011;Portugal  ;5-8                                                                       ;15,5
2011;Romania   ;0-2                                                                       ;29,95
2011;Romania   ;3-4                                                                       ;57,2
2011;Romania   ;5-8                                                                       ;12,9
2011;Slovenia  ;0-2                                                                       ;19,75
2011;Slovenia  ;3-4                                                                       ;58,55
2011;Slovenia  ;5-8                                                                       ;21,7
2011;Slovakia  ;0-2                                                                       ;15,65
2011;Slovakia  ;3-4                                                                       ;67,95
2011;Slovakia  ;5-8                                                                       ;16,4
2011;Finland   ;0-2                                                                       ;22,9
2011;Finland   ;3-4                                                                       ;44,55
2011;Finland   ;5-8                                                                       ;32,55
2011;Sweden    ;0-2                                                                       ;24,4
2011;Sweden    ;3-4                                                                       ;46,5
2011;Sweden    ;5-8                                                                       ;29,15
2011;Switzerlan;0-2                                                                       ;21,4
2011;Switzerlan;3-4                                                                       ;49,75
2011;Switzerlan;5-8                                                                       ;28,9
2012;Belgium   ;0-2                                                                       ;31,4
