Country;Year;% Employment;GDP
DE; 2015;78;3026180
DE; 2016;78.6;3134740
DE; 2017;79.2;3259860
DE; 2018;79.9;3356410
DE; 2019;80.6;3449050
DK; 2005;78;1585984.2
DK; 2006;79.4;1682260.2
DK; 2007;79;1738845.3
DK; 2008;78.7;1801469.9
DK; 2009;76.1;1722142.5
DK; 2010;74.9;1810925.6
DK; 2011;74.8;1846853.6
DK; 2012;74.3;1895002.3
DK; 2013;74.3;1929677
DK; 2014;74.7;1981165
DK; 2015;75.4;2036356.2
DK; 2016;76;2107808.2
DK; 2017;76.6;2192960
DK; 2018;77.5;2253558
DK; 2019;78.3;2335002.1
EE; 2005;72;11336.5
EE; 2006;75.9;13560.5
EE; 2007;76.9;16398.7
EE; 2008;77.1;16638.3
EE; 2009;70;14211.8
EE; 2010;66.8;14860.7
EE; 2011;70.6;16826.8
EE; 2012;72.2;18050.7
EE; 2013;73.3;19033.4
EE; 2014;74.3;20180
EE; 2015;76.5;20782.2
EE; 2016;76.6;21931.5
EE; 2017;78.7;23857.7
EE; 2018;79.5;25937.6
EE; 2019;80.2;28112.4
EL; 2005;64.4;199242.3
EL; 2006;65.6;217861.6
EL; 2007;65.8;232694.6
EL; 2008;66.3;241990.4
EL; 2009;65.6;237534.2
EL; 2010;63.8;226031.4
EL; 2011;59.6;207028.9
EL; 2012;55;191203.9
EL; 2013;52.9;180654.3
EL; 2014;53.3;178656.5
EL; 2015;54.9;177258.4
EL; 2016;56.2;176487.9
EL; 2017;57.8;180217.6
EL; 2018;59.5;184713.6
EL; 2019;61.2;187456.5
ES; 2005;67.5;927357
ES; 2006;69;1003823
ES; 2007;69.7;1075539
ES; 2008;68.5;1109541
ES; 2009;64;1069323
ES; 2010;62.8;1072709
ES; 2011;62;1063763
ES; 2012;59.6;1031099
ES; 2013;58.6;1020348
ES; 2014;59.9;1032158
ES; 2015;62;1077590
ES; 2016;63.9;1113840
ES; 2017;65.5;1161867
ES; 2018;67;1204241
ES; 2019;68;1244772
FI; 2005;73;164687
FI; 2006;73.9;172897
FI; 2007;74.8;187072
FI; 2008;75.8;194265
FI; 2009;73.5;181747
FI; 2010;73;188143
FI; 2011;73.8;197998
FI; 2012;74;201037
FI; 2013;73.3;204321
FI; 2014;73.1;206897
FI; 2015;72.9;211385
FI; 2016;73.4;217518
FI; 2017;74.2;225933
FI; 2018;76.3;233664
FI; 2019;77.2;240556
FR; 2005;68.9;1765905
FR; 2006;68.9;1848151
FR; 2007;69.4;1941360
FR; 2008;69.9;1992380
FR; 2009;69;1936422
FR; 2010;68.9;1995289
FR; 2011;68.8;2058369
FR; 2012;68.9;2088804
FR; 2013;69;2117189
FR; 2014;69.2;2149765
FR; 2015;69.5;2198432
FR; 2016;70;2234129
FR; 2017;70.6;2297242
FR; 2018;71.3;2360687
FR; 2019;71.6;2425708
HR; 2005;59.9;270014.9
HR; 2006;60.6;294444.7
HR; 2007;63.9;322791.4
HR; 2008;64.9;346735.2
HR; 2009;64.2;330770.8
HR; 2010;62.1;328824.2
HR; 2011;59.8;333214.8
HR; 2012;58.1;330509.4
HR; 2013;57.2;331209.1
HR; 2014;59.2;331342.8
HR; 2015;60.6;339696.1
HR; 2016;61.4;351168.7
HR; 2017;63.6;366426.1
HR; 2018;65.2;382965.2
HR; 2019;66.7;400102.2
HU; 2005;62.2;22549020
HU; 2006;62.6;24316299
HU; 2007;62.3;25701369
HU; 2008;61.5;27217365
HU; 2009;60.1;26458264
HU; 2010;59.9;27431270
HU; 2011;60.4;28501501
HU; 2012;61.6;28920370
HU; 2013;63;30290920
HU; 2014;66.7;32742178
HU; 2015;68.9;34937313
HU; 2016;71.5;36167453
HU; 2017;73.3;39233430
HU; 2018;74.4;43347041
HU; 2019;75.3;47513912
IE; 2005;74;170230.9
IE; 2006;74.7;184914.1
IE; 2007;75.1;197129.5
IE; 2008;73.5;187619.5
IE; 2009;68;169785.8
IE; 2010;65.5;167673.7
IE; 2011;64.6;170950.9
IE; 2012;64.5;175103.9
IE; 2013;66.5;179616.3
IE; 2014;68.1;195148.1
IE; 2015;69.9;262853.3
IE; 2016;71.4;270809.5
IE; 2017;73;300386.9
IE; 2018;74.1;326986.1
IE; 2019;75.1;356051.2
IT; 2005;61.5;1493635.3
IT; 2006;62.4;1552686.8
IT; 2007;62.7;1614839.8
IT; 2008;62.9;1637699.4
IT; 2009;61.6;1577255.9
IT; 2010;61;1611279.4
IT; 2011;61;1648755.8
IT; 2012;60.9;1624358.7
IT; 2013;59.7;1612751.3
IT; 2014;59.9;1627405.6
IT; 2015;60.5;1655355
IT; 2016;61.6;1695786.8
IT; 2017;62.3;1736592.8
IT; 2018;63;1771063.1
IT; 2019;63.5;1789747
LT; 2005;70.7;20979.9
LT; 2006;71.3;24053.3
LT; 2007;72.7;29011.2
LT; 2008;72;32660.1
LT; 2009;67;26897
LT; 2010;64.3;28033.8
LT; 2011;66.9;31317.2
LT; 2012;68.5;33410.2
LT; 2013;69.9;35039.5
LT; 2014;71.8;36581.3
LT; 2015;73.3;37345.7
LT; 2016;75.2;38889.9
LT; 2017;76;42276.3
LT; 2018;77.8;45491.1
LT; 2019;78.2;48797.4
LU; 2005;69;30031
LU; 2006;69.1;33808.4
LU; 2007;69.6;37178.9
LU; 2008;68.8;38128.6
LU; 2009;70.4;36976.5
LU; 2010;70.7;40177.8
LU; 2011;70.1;43164.6
LU; 2012;71.4;44112.1
LU; 2013;71.1;46499.6
LU; 2014;72.1;49824.5
LU; 2015;70.9;52065.8
LU; 2016;70.7;54867.2
LU; 2017;71.5;56814.2
LU; 2018;72.1;60053.1
LU; 2019;72.8;63516.3
LV; 2005;69.1;13626.8
LV; 2006;73.2;17158
LV; 2007;75.2;22667.7
LV; 2008;75.4;24460.8
LV; 2009;66.6;18932.7
LV; 2010;64.3;18022.7
LV; 2011;66.3;20411.5
LV; 2012;68.1;22045
LV; 2013;69.7;22923.7
LV; 2014;70.7;23613.9
LV; 2015;72.5;24560.9
LV; 2016;73.2;25360.3
LV; 2017;74.8;26962.3
LV; 2018;76.8;29142.5
LV; 2019;77.4;30463.3
MT; 2005;57.4;5159.3
MT; 2006;57.9;5403
MT; 2007;58.6;5790.3
MT; 2008;59.2;6206
MT; 2009;59;6259.6
MT; 2010;60.1;6815.8
MT; 2011;61.6;6924.6
MT; 2012;63.9;7364.5
MT; 2013;66.2;7944.3
MT; 2014;67.9;8751.1
MT; 2015;69;9996.7
MT; 2016;71.1;10538.4
MT; 2017;73;11637.7
MT; 2018;75.5;12491
MT; 2019;76.8;13390
NL; 2005;72.7;550883
NL; 2006;73.7;584546
NL; 2007;75.5;619170
NL; 2008;76.9;647198
NL; 2009;76.8;624842
NL; 2010;76.2;639187
NL; 2011;76.4;650359
NL; 2012;76.6;652966
NL; 2013;75.9;660463
NL; 2014;75.4;671560
NL; 2015;76.4;690008
NL; 2016;77.1;708337
NL; 2017;78;738146
NL; 2018;79.2;773987
NL; 2019;80.1;810247
PL; 2005;58.3;990530
PL; 2006;60.1;1069431
PL; 2007;62.7;1187508
PL; 2008;65;1285571
PL; 2009;64.9;1372025
PL; 2010;64.3;1446844
PL; 2011;64.5;1565251
PL; 2012;64.7;1623442
PL; 2013;64.9;1646724
PL; 2014;66.5;1711244
PL; 2015;67.8;1801112
PL; 2016;69.3;1863487
PL; 2017;70.9;1989835
PL; 2018;72.2;2121555
PL; 2019;73;2287738
PT; 2005;72.2;158552.7
PT; 2006;72.6;166260.5
PT; 2007;72.5;175483.4
PT; 2008;73.1;179102.8
PT; 2009;71.1;175416.4
PT; 2010;70.3;179610.8
PT; 2011;68.8;176096.2
PT; 2012;66.3;168295.6
PT; 2013;65.4;170492.3
PT; 2014;67.6;173053.7
PT; 2015;69.1;179713.2
PT; 2016;70.6;186489.8
PT; 2017;73.4;195947.2
PT; 2018;75.4;205184.1
PT; 2019;76.1;213301
RO; 2005;63.6;286861.9
RO; 2006;64.8;342762.6
RO; 2007;64.4;425691.1
RO; 2008;64.4;539834.6
RO; 2009;63.5;530894.4
RO; 2010;64.8;528514.5
RO; 2011;63.8;558889.9
RO; 2012;64.8;591799.1
RO; 2013;64.7;634967.8
RO; 2014;65.7;669703.9
RO; 2015;66;711929.9
RO; 2016;66.3;763652.5
RO; 2017;68.8;857895.7
RO; 2018;69.9;951728.5
RO; 2019;70.9;1059803.2
SE; 2005;77.9;2931085
SE; 2006;78.8;3121668
SE; 2007;80.1;3320278
SE; 2008;80.4;3412253
SE; 2009;78.3;3341167
SE; 2010;78.1;3573581
SE; 2011;79.4;3727905
SE; 2012;79.4;3743086
SE; 2013;79.8;3822671
SE; 2014;80;3992730
SE; 2015;80.5;4260470
SE; 2016;81.2;4415031
SE; 2017;81.8;4625094
SE; 2018;82.4;4828306
SE; 2019;82.1;5021285
SI; 2005;71.1;29113.6
SI; 2006;71.5;31470.3
SI; 2007;72.4;35073.5
SI; 2008;73;37925.7
SI; 2009;71.9;36254.9
SI; 2010;70.3;36363.9
SI; 2011;68.4;37058.6
SI; 2012;68.3;36253.3
SI; 2013;67.2;36454.3
SI; 2014;67.7;37634.3
SI; 2015;69.1;38852.6
SI; 2016;70.1;40443.2
SI; 2017;73.4;43009.1
SI; 2018;75.4;45862.6
SI; 2019;76.4;48392.6
SK; 2005;64.5;50485.7
SK; 2006;66;56361.4
SK; 2007;67.2;63163.4
SK; 2008;68.8;68590.5
SK; 2009;66.4;64095.5
SK; 2010;64.6;68188.7
SK; 2011;65;71304.5
SK; 2012;65.1;73575.8
SK; 2013;65;74448.8
SK; 2014;65.9;76269.8
SK; 2015;67.7;79767.6
SK; 2016;69.8;81051.5
SK; 2017;71.1;84532.2
SK; 2018;72.4;89505.5
SK; 2019;73.4;93865.2
